,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000
362,1595,"Clavaleyres, Faoug",,,,1.0,0.0011494252873563218,1.1494252873563218
363,1607,"Puidoux, Oron",,,,,,
364,1608,"Chapelle (Glâne), Oron",,,,,,
365,1609,Saint-Martin (FR),,,,,,
366,1610,Oron,,,,,,
367,1611,La Verrerie,,,,,,
368,1612,"Attalens, Oron",,,,,,
369,1613,Maracon,,,,,,
370,1614,"Granges (Veveyse), Chardonne",,,,,,
371,1615,Bossonnens,,,,,,
372,1616,Attalens,,,,,,
373,1617,"Attalens, Remaufens",,,,,,
374,1618,"Châtel-Saint-Denis, Remaufens",,,,,,
375,1619,Châtel-Saint-Denis,,,,,,
376,1623,Semsales,,,,,,
377,1624,"Semsales, La Verrerie",,,,,,
378,1625,Sâles,1.0,0.001037344398340249,1.037344398340249,,,
379,1626,Sâles,,,,,,
380,1627,"Vaulruz, Semsales",1.0,0.000949667616334283,0.9496676163342831,,,
381,1628,"Riaz, Vuadens",,,,,,
382,1630,Bulle,2.0,0.00011678150181011328,0.11678150181011328,2.0,0.00011678150181011328,0.11678150181011328
383,1632,Riaz,,,,,,
384,1633,Marsens,,,,,,
385,1634,La Roche,,,,,,
386,1635,"Bulle, Gruyères, Le Pâquier (FR)",2.0,0.0004578754578754579,0.45787545787545786,1.0,0.00022893772893772894,0.22893772893772893
387,1636,"Broc, Gruyères",,,,,,
388,1637,Val-de-Charmey,,,,,,
389,1638,Morlon,,,,,,
390,1642,Sorens,,,,1.0,0.0009380863039399625,0.9380863039399625
391,1643,Pont-en-Ogoz,,,,,,
392,1644,Pont-en-Ogoz,,,,,,
393,1645,Pont-en-Ogoz,,,,,,
394,1646,"Corbières, Echarlens",,,,,,
395,1647,Corbières,,,,,,
396,1648,Hauteville,,,,,,
397,1649,Pont-la-Ville,,,,,,
398,1651,Corbières,,,,,,
399,1652,Botterens,,,,,,
400,1653,"Châtel-sur-Montsalvens, Crésuz",,,,,,
401,1654,Val-de-Charmey,,,,,,
402,1656,Jaun,,,,,,
403,1657,"Boltigen, Saanen",,,,,,
404,1658,Rossinière,,,,,,
405,1659,"Château-d'Oex, Rougemont",,,,,,
406,1660,Château-d'Oex,,,,3.0,0.0008888888888888889,0.888888888888889
407,1661,"Gruyères, Le Pâquier (FR)",,,,1.0,0.000925925925925926,0.9259259259259259
408,1663,Gruyères,1.0,0.0004805382027871216,0.4805382027871216,,,
409,1665,Bas-Intyamon,,,,,,
410,1666,"Grandvillard, Bas-Intyamon",,,,,,
411,1667,Bas-Intyamon,,,,,,
412,1669,Haut-Intyamon,,,,,,
413,1670,Ursy,,,,,,
414,1673,"Auboranges, Ecublens (FR), Rue",,,,,,
415,1674,"Montet (Glâne), Ursy",,,,,,
416,1675,"Rue, Ursy",,,,,,
417,1676,Siviriez,,,,,,
418,1677,Siviriez,,,,,,
419,1678,Siviriez,1.0,0.0009208103130755065,0.9208103130755064,1.0,0.0009208103130755065,0.9208103130755064
420,1679,Siviriez,,,,,,
421,1680,"Mézières (FR), Romont (FR), Siviriez, La Folliaz",,,,2.0,0.00037126415444588826,0.3712641544458883
422,1681,Billens-Hennens,,,,,,
423,1682,"Dompierre (VD), Lovatens, Prévonloup, Valbroye",,,,,,
424,1683,"Brenles, Chesalles-sur-Moudon, Sarzens",,,,1.0,0.002564102564102564,2.5641025641025643
425,1684,Mézières (FR),,,,,,
426,1685,Vuisternens-dev-Romont,,,,,,
427,1686,"Grangettes, Vuisternens-dev-Romont",,,,,,
428,1687,Vuisternens-dev-Romont,,,,,,
429,1688,Vuisternens-dev-Romont,,,,,,
430,1689,Le Châtelard,,,,,,
431,1690,"Villaz-Saint-Pierre, Villorsonnens, La Folliaz",,,,1.0,0.000612369871402327,0.612369871402327
432,1691,La Folliaz,,,,,,
433,1692,Massonnens,,,,,,
434,1694,Villorsonnens,1.0,0.000794912559618442,0.794912559618442,,,
435,1695,Gibloux,2.0,0.0016051364365971107,1.6051364365971108,1.0,0.0008025682182985554,0.8025682182985554
436,1696,Gibloux,,,,4.0,0.0041025641025641026,4.102564102564102
437,1697,Vuisternens-dev-Romont,,,,,,
438,1699,Le Flon,,,,,,
439,1700,"Fribourg, Düdingen, Tafers",7.0,0.00018444350758853287,0.18444350758853287,2.0,5.269814502529511e-05,0.05269814502529511
440,1712,"Alterswil, Schmitten (FR), Tafers",3.0,0.0009511731135066582,0.9511731135066582,3.0,0.0009511731135066582,0.9511731135066582
441,1713,"Alterswil, St. Antoni, Schmitten (FR), Tafers",2.0,0.0013245033112582781,1.3245033112582782,1.0,0.0006622516556291391,0.6622516556291391
442,1714,"Heitenried, St. Antoni",10.0,0.005521811154058531,5.521811154058531,4.0,0.0022087244616234127,2.2087244616234125
443,1715,"Alterswil, St. Antoni, St. Ursen",,,,1.0,0.0005458515283842794,0.5458515283842794
444,1716,"Jaun, Val-de-Charmey, Oberschrot, Plaffeien",1.0,0.0003202049311559398,0.3202049311559398,1.0,0.0003202049311559398,0.3202049311559398
445,1717,"Alterswil, St. Ursen",,,,,,
446,1718,"Rechthalten, St. Ursen",,,,2.0,0.001728608470181504,1.7286084701815039
447,1719,"Brünisried, Oberschrot, Zumholz",6.0,0.005649717514124294,5.649717514124294,2.0,0.0018832391713747645,1.8832391713747645
448,1720,"Chésopelloz, Corminboeuf",,,,,,
449,1721,"Misery-Courtion, Avenches",,,,,,
450,1722,Fribourg,2.0,0.0028694404591104736,2.8694404591104736,,,
451,1723,"Marly, Pierrafortscha, Villarsel-sur-Marly",4.0,0.0004808270224786633,0.4808270224786633,,,
452,1724,"Ferpicloz, Le Mouret, Senèdes, Treyvaux, St. Silvester",,,,2.0,0.0005635390250774866,0.5635390250774865
453,1725,"Arconciel, Hauterive (FR)",2.0,0.0014347202295552368,1.4347202295552368,,,
454,1726,Gibloux,,,,,,
455,1727,Gibloux,1.0,0.0007716049382716049,0.7716049382716049,,,
456,1728,Gibloux,,,,,,
457,1730,Hauterive (FR),,,,,,
458,1731,Ependes (FR),2.0,0.0018099547511312218,1.8099547511312217,,,
459,1732,Arconciel,,,,,,
460,1733,"La Roche, Treyvaux",,,,,,
461,1734,"St. Silvester, Tentlingen",,,,,,
462,1735,"Giffers, Rechthalten",,,,,,
463,1736,St. Silvester,,,,,,
464,1737,Plasselb,,,,1.0,0.0009541984732824427,0.9541984732824427
465,1738,"Guggisberg, Rüschegg, Plaffeien",,,,,,
466,1740,Neyruz (FR),,,,1.0,0.00039936102236421724,0.3993610223642172
467,1741,Cottens (FR),,,,,,
468,1742,Autigny,,,,1.0,0.0013736263736263737,1.3736263736263736
469,1744,Chénens,,,,,,
470,1745,"Autigny, La Brillaz",,,,1.0,0.0010309278350515464,1.0309278350515465
471,1746,Prez-vers-Noréaz,,,,,,
472,1747,Corserey,1.0,0.0025380710659898475,2.5380710659898473,,,
473,1748,Torny,,,,,,
474,1749,Torny,,,,,,
475,1752,Villars-sur-Glâne,,,,5.0,0.00041196341764851283,0.41196341764851285
476,1753,"Corminboeuf, Matran",,,,,,
477,1754,Avry,,,,1.0,0.0005379236148466917,0.5379236148466917
478,1756,La Brillaz,,,,,,
479,1757,Noréaz,,,,,,
480,1762,Givisiez,3.0,0.0009621552277100705,0.9621552277100706,1.0,0.00032071840923669016,0.32071840923669015
481,1763,Granges-Paccot,,,,2.0,0.0006309148264984228,0.6309148264984228
482,1772,"Grolley, Ponthaux",,,,1.0,0.00038446751249519417,0.3844675124951942
483,1773,Belmont-Broye,1.0,0.001037344398340249,1.037344398340249,,,
484,1774,Montagny (FR),,,,,,
485,1775,Montagny (FR),,,,,,
486,1776,"Montagny (FR), Belmont-Broye",,,,,,
487,1782,"Belfaux, La Sonnaz",,,,,,
488,1783,Barberêche,,,,,,
489,1784,"Courtepin, Wallenried",,,,1.0,0.00038714672861014324,0.38714672861014326
490,1785,Cressier (FR),2.0,0.002232142857142857,2.232142857142857,1.0,0.0011160714285714285,1.1160714285714286
491,1786,Mont-Vully,5.0,0.002900232018561485,2.9002320185614847,1.0,0.000580046403712297,0.580046403712297
492,1787,"Mont-Vully, Vully-les-Lacs",,,,,,
493,1788,Mont-Vully,,,,,,
494,1789,Mont-Vully,2.0,0.0019723865877712033,1.9723865877712032,3.0,0.0029585798816568047,2.9585798816568047
495,1791,Courtepin,3.0,0.001996007984031936,1.996007984031936,2.0,0.0013306719893546241,1.3306719893546242
496,1792,Gurmels,5.0,0.003996802557953637,3.9968025579536373,3.0,0.002398081534772182,2.398081534772182
497,1793,Murten,2.0,0.004739336492890996,4.739336492890995,,,
498,1794,Murten,2.0,0.003629764065335753,3.629764065335753,2.0,0.003629764065335753,3.629764065335753
499,1795,Murten,,,,1.0,0.003278688524590164,3.278688524590164
500,1796,Courgevaux,3.0,0.00267379679144385,2.6737967914438503,7.0,0.006238859180035651,6.238859180035651
501,1797,Münchenwiler,4.0,0.008281573498964804,8.281573498964804,4.0,0.008281573498964804,8.281573498964804
