diagnosedatum;kanton;bezirk;gemeinde;seuchengruppe;tierseuche;tierart;tierkategorie;anzahlinfizierterfaelle;anzahlgetoetefaelle
"19.06.2008";"Bern";"Wangen";"Wangen an der Aare";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"18.06.2008";"Bern";"Wangen";"Seeberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"18.06.2008";"Bern";"Wangen";"Heimenhausen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"20.05.2008";"Bern";"Büren";"Leuzigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"13.05.2008";"Bern";"Büren";"Leuzigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";0;0
"11.12.2008";"Bern";"Frutigen";"Aeschi bei Spiez";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"29.12.2008";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"30.12.2008";"Bern";"Trachselwald";"Walterswil (BE)";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"30.12.2008";"Bern";"Burgdorf";"Oberburg";"Zu bekämpfende Seuchen";"Salmonellose";"Hund";"";1;0
"14.01.2009";"Bern";"Bern";"Köniz";"Zu bekämpfende Seuchen";"Schafräude (2009 aus TSV gestrichen)";"Schaf";"";0;0
"14.01.2009";"Bern";"Nidau";"Port";"Zu überwachende Seuchen";"Campylobacteriose";"Katze";"";1;0
"08.01.2009";"Bern";"Schwarzenburg";"Wahlern";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;0
"30.01.2009";"Bern";"Signau";"Eggiwil";"Zu überwachende Seuchen";"Chlamydienabort der Schafe und Ziegen";"Ziege";"";1;0
"07.01.2009";"Bern";"Niedersimmental";"Diemtigen";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"12.02.2009";"Bern";"Konolfingen";"Grosshöchstetten";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;0
"23.02.2009";"Bern";"Signau";"Trub";"Zu überwachende Seuchen";"Campylobacteriose";"Schaf";"";1;0
"20.02.2009";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"20.02.2009";"Bern";"Frutigen";"Kandersteg";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"11.03.2009";"Bern";"Signau";"Trub";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;1
"12.03.2009";"Bern";"Trachselwald";"Dürrenroth";"Zu überwachende Seuchen";"Neosporose";"Rind";"";1;1
"28.02.2009";"Bern";"Konolfingen";"Oberthal";"Zu überwachende Seuchen";"Coxiellose";"Rind";"";1;1
"18.03.2009";"Bern";"Biel";"Biel (BE)";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"20.03.2009";"Bern";"Bern";"Bern";"Zu überwachende Seuchen";"Campylobacteriose";"Hund";"";1;0
"23.03.2009";"Bern";"Niedersimmental";"Wimmis";"Zu überwachende Seuchen";"Trichinellose";"Luchs";"";1;0
"25.03.2009";"Bern";"Niedersimmental";"Diemtigen";"Zu überwachende Seuchen";"Kryptosporidiose";"Rind";"";1;0
"14.04.2009";"Bern";"Interlaken";"Hofstetten bei Brienz";"Zu bekämpfende Seuchen";"Infektiöse Laryngotracheitis der Hühner";"Huhn";"";1;0
"27.03.2009";"Bern";"Bern";"Zollikofen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"08.04.2009";"Bern";"Seftigen";"Rüeggisberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Frutigen";"Adelboden";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Seftigen";"Toffen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Seftigen";"Toffen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Seftigen";"Wattenwil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Bern";"Köniz";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Büren";"Diessbach bei Büren";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Nidau";"Hermrigen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Seftigen";"Burgistein";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Seftigen";"Burgistein";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Thun (bis 2010)";"Steffisburg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Thun (bis 2010)";"Sigriswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Burgdorf";"Kirchberg (BE)";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Aarwangen";"Rohrbachgraben";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"15.04.2009";"Bern";"Trachselwald";"Huttwil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"16.04.2009";"Bern";"Burgdorf";"Heimiswil";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"16.04.2009";"Bern";"Wangen";"Seeberg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"16.04.2009";"Bern";"Aarwangen";"Langenthal";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"16.04.2009";"Bern";"Konolfingen";"Walkringen";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
"16.04.2009";"Bern";"Burgdorf";"Oberburg";"Zu bekämpfende Seuchen";"Sauerbrut der Bienen";"Bienen";"";1;0
